Game Title,Category,Release Date,Developers,Publishers,Platforms,Genres,Themes,Keywords,YouTube URL,YouTube Views,YouTube Likes,YouTube ReleaseDate,SteamStatus
Ahapika: Heroic Agency,Main Game,2026-06-04,,,PC (Microsoft Windows),"Adventure, Indie","Action, Comedy","ancient greece, roguelike, pixel graphics, relaxing, story rich, indie developer, free demo, bullet heaven, steam deck, steam families, beautiful characters, auto-shooter",https://www.youtube.com/watch?v=Ec34WwewVtc,20,0,2025-02-17,PC Game (on Steam)
Medic: Pacific War,Main Game,2026-06-04,Hypnotic Ants,Hypnotic Ants,"PlayStation 4, PC (Microsoft Windows)",Simulator,"Action, Historical, Warfare","world war ii - ww2, medical",https://www.youtube.com/watch?v=pr-_fGMG3g8,1500,20,2026-05-20,PC Game (on Steam)
Find Us Cats,Main Game,2026-06-04,"JTuxbury, Aaron Ware, spiregg",spiregg,"Linux, PC (Microsoft Windows), Mac","Adventure, Indie",,"casual, cats, space, hidden object, cute, relaxing, hand-drawn, cat, cozy, nextfest june 2025",N/A,N/A,N/A,N/A,PC Game (on Steam)
Putrika 2nd.Cut: For the Exquisite Attire,Main Game,2026-06-05,Totometori,Totometori,PC (Microsoft Windows),"Adventure, Visual Novel",,,https://www.youtube.com/watch?v=JNm7ovrZs60,7254,254,2026-05-01,PC Game (on Steam)
Tactorius,Main Game,2026-06-05,Ludius Constructs,Ludius Constructs,PC (Microsoft Windows),"Strategy, Indie",,,N/A,N/A,N/A,N/A,PC Game (on Steam)
Sinner Maker,Main Game,2026-06-05,Pantokrator,Metro Team,PC (Microsoft Windows),"Simulator, Indie",,,N/A,N/A,N/A,N/A,PC Game (on Steam)
Kromex,Main Game,2026-06-05,,Fuki-Studio,PC (Microsoft Windows),"Strategy, Indie",Action,,https://www.youtube.com/watch?v=dbCUosXmCaI,101,1,2026-05-07,PC Game (on Steam)
Death Standing,Main Game,2026-06-05,Bobosse,Bobosse,PC (Microsoft Windows),"Simulator, Indie, Arcade","Action, Horror, Thriller, Comedy","experimental, parody, meditation, calming",https://www.youtube.com/watch?v=4T88fsd2ppc,8,1,2026-05-18,PC Game (on Steam)
Follow Us,Main Game,2026-06-05,Game Atelier,Game Atelier,PC (Microsoft Windows),Adventure,"Action, Horror","steam achievements, accessibility options, color alternatives, playable without timed input, stereo sound, custom volume controls, surround sound",https://www.youtube.com/watch?v=TU1Tm4AR3iU,5359,4,2026-05-21,PC Game (on Steam)
Shattered Chess,Main Game,2026-06-05,,,PC (Microsoft Windows),"Strategy, Tactical, Indie",,"chess, roguelike, roguelite, combo, deckbuilding",https://www.youtube.com/watch?v=pAObgr9Zlps,54293,4,2026-05-27,PC Game (on Steam)
Mega Man W,Main Game,2026-06-05,,,PC (Microsoft Windows),Platform,"Action, Science fiction","unofficial, fangame",https://www.youtube.com/watch?v=X2OGaEEe3Bc,20459,1915,2026-05-07,Non-Steam PC Game
Witch's Apocalyptic Journey,Main Game,2026-06-05,,,"PC (Microsoft Windows), Mac","Role-playing (RPG), Strategy, Turn-based strategy (TBS), Indie",,"steam achievements, adjustable difficulty, accessibility options, playable without timed input, mouse only option, stereo sound, custom volume controls, touch only option, nextfest february 2026",https://www.youtube.com/watch?v=Nzvf7Uhp_r0,304,6,2026-02-24,PC Game (on Steam)
Zaijian Eurydice,Main Game,2026-06-05,Hailun Huanxiang Zhizuo Zu,Hailun Huanxiang Zhizuo Zu,PC (Microsoft Windows),"Role-playing (RPG), Indie, Visual Novel",,,N/A,N/A,N/A,N/A,Non-Steam PC Game
Xeno Swarm,Main Game,2026-06-05,J&Z Studio,,"PC (Microsoft Windows), Mac","Adventure, Indie","Action, Science fiction",,https://www.youtube.com/watch?v=0K6yuizy8Yk,171,10,2025-06-10,PC Game (on Steam)
8AM: The Warehouse,Main Game,2026-06-06,David Gallardo,HeadArrow,PC (Microsoft Windows),Indie,"Action, Thriller",,N/A,N/A,N/A,N/A,PC Game (on Steam)
Trading Card Inspector,Main Game,2026-06-06,Daydream Gallery,Catoptric Games,PC (Microsoft Windows),"Puzzle, Simulator, Indie, Card & Board Game",Comedy,"investigation, trading card game, job simulator",https://www.youtube.com/watch?v=N2keC6GBrl4,132,14,2026-05-08,PC Game (on Steam)
UFO 50 Nonograms,Main Game,2026-06-06,,,PC (Microsoft Windows),Puzzle,Science fiction,"unofficial, fangame",https://www.youtube.com/watch?v=L7MlCHPJpCU,10487,853,2026-02-08,Non-Steam PC Game
Sumire's Secret,Main Game,2026-06-06,Soft Circle Courreges,Kagura Games,PC (Microsoft Windows),"Role-playing (RPG), Visual Novel","Horror, Drama","nsfw_patch, nsfw version exists",https://www.youtube.com/watch?v=50F4qAtaacQ,1070,103,2026-05-29,PC Game (on Steam)
Mudventure,Main Game,2026-06-07,,,PC (Microsoft Windows),Adventure,,"accessibility options, save anytime, stereo sound, custom volume controls, nextfest february 2026",N/A,N/A,N/A,N/A,PC Game (on Steam)
ShotFightDisaster,Main Game,2026-06-08,,,PC (Microsoft Windows),,Action,,N/A,N/A,N/A,N/A,PC Game (on Steam)
Wageslave,Main Game,2026-06-08,Cauldron Games,Cauldron Games,"PC (Microsoft Windows), Mac","Simulator, Indie, Visual Novel","Survival, Comedy, Business","psychological horror, interactive fiction, dystopian, short, dark humor, capitalism, story rich, art game",https://www.youtube.com/watch?v=vF0xp_vp7eQ,87,0,2026-03-21,PC Game (on Steam)
Vampire Hunter: Nightrise,Main Game,2026-06-08,Treetop,Treetop,PC (Microsoft Windows),"Shooter, Adventure",Action,"vampire, dungeon crawling, dungeon crawler, vampires",N/A,N/A,N/A,N/A,PC Game (on Steam)
Cursemark,Main Game,2026-06-08,CLYDE Games,"Mad Mushroom Publishing, Gamersky Games","Linux, PC (Microsoft Windows)","Role-playing (RPG), Adventure, Indie","Action, Fantasy",action roguelike,https://www.youtube.com/watch?v=xxWVDQZuPLI,3252,125,2026-04-24,PC Game (on Steam)
Arms of God,Main Game,2026-06-08,Dark Jay Studio,"Dark Jay Studio, Galaktus",PC (Microsoft Windows),"Role-playing (RPG), Hack and slash/Beat 'em up, Indie","Action, Fantasy, Science fiction","bullet hell, roguelite, bullet heaven",https://www.youtube.com/watch?v=fLoVX7HyG2M,2137,27,2026-04-24,PC Game (on Steam)
Gacha Capsule Shop Simulator: Akihabara,Main Game,2026-06-08,UGC90,UGC90,PC (Microsoft Windows),"Simulator, Indie",,ai-generated music,N/A,N/A,N/A,N/A,PC Game (on Steam)
Layer Land,Main Game,2026-06-08,,,PC (Microsoft Windows),"Role-playing (RPG), Strategy, Adventure, Indie",Action,"steam achievements, adjustable difficulty, accessibility options, ai-powered, save anytime, playable without timed input, stereo sound, custom volume controls, camera comfort, nextfest february 2026",N/A,N/A,N/A,N/A,PC Game (on Steam)
Killer Bean,Main Game,2026-06-08,Killer Bean Studios,Killer Bean Studios,"Linux, PC (Microsoft Windows), Mac","Shooter, Adventure, Indie","Action, Comedy","based on - movie, bullet time, semi open world",https://www.youtube.com/watch?v=87KtMnmZWzQ,1632982,35286,2024-06-08,PC Game (Verification Error)
Caravan Village: Farming Life,Main Game,2026-06-08,,,PC (Microsoft Windows),"Role-playing (RPG), Simulator, Adventure, Indie",,nextfest february 2026,N/A,N/A,N/A,N/A,PC Game (Verification Error)
Atre: Dominance Wars,Main Game,2026-06-08,Ironward,Ironward,PC (Microsoft Windows),"Real Time Strategy (RTS), Role-playing (RPG), Simulator, Strategy","Fantasy, Warfare, 4X (explore, expand, exploit, and exterminate)","god game, magic, procedurally generated",https://www.youtube.com/watch?v=rjbk24HNHOs,13512,160,2024-09-02,PC Game (Verification Error)
[ Content Deleted ],Main Game,2026-06-09,RizziVr,RizziVr,PC (Microsoft Windows),"Adventure, Indie",Horror,,N/A,N/A,N/A,N/A,PC Game (Verification Error)
Voidling Bound,Main Game,2026-06-09,Hatchery Games,Hatchery Games,PC (Microsoft Windows),"Role-playing (RPG), Adventure","Action, Science fiction",,https://www.youtube.com/watch?v=Cd_bUVrwR3Q,5929,142,2026-04-23,PC Game (Verification Error)
Lóng Zhī Gǔ: Huái Jiù Fú,Main Game,2026-06-09,,Gamania,PC (Microsoft Windows),"Role-playing (RPG), Hack and slash/Beat 'em up, Adventure",Action,,N/A,N/A,N/A,N/A,PC Game (Verification Error)
My Summer Love,Main Game,2026-06-09,,,PC (Microsoft Windows),"Role-playing (RPG), Simulator, Visual Novel",Romance,"accessibility options, ai-generated artwork, ai-generated music, ai-generated text, playable without timed input, nextfest february 2026",N/A,N/A,N/A,N/A,PC Game (Verification Error)
Road to Empress II,Main Game,2026-06-09,New One Studio,New One Studio,PC (Microsoft Windows),"Role-playing (RPG), Simulator, Adventure, Indie","Historical, Drama","interactive fiction, full motion video, branching paths, meaningful choices, fmv",https://www.youtube.com/watch?v=UM4srXZ0QWI,751342,750,2026-05-22,PC Game (Verification Error)
Heartlines,Main Game,2026-06-10,,,PC (Microsoft Windows),"Role-playing (RPG), Simulator, Adventure, Indie",Romance,nextfest february 2026,N/A,N/A,N/A,N/A,PC Game (Verification Error)
Latitude of the Cult,Main Game,2026-06-10,,,PC (Microsoft Windows),"Strategy, Adventure, Indie","Action, Horror","accessibility options, save anytime, stereo sound, nextfest february 2026",N/A,N/A,N/A,N/A,PC Game (Verification Error)
Witchspire,Main Game,2026-06-10,Envar Games,Envar Games,PC (Microsoft Windows),"Role-playing (RPG), Adventure","Fantasy, Survival, Sandbox, Open world",open world survival craft,https://www.youtube.com/watch?v=RGz_SnhWedo,510,7,2026-04-16,PC Game (Verification Error)
Crushed in Time,Main Game,2026-06-10,Draw Me A Pixel,Draw Me A Pixel,"PC (Microsoft Windows), Mac","Adventure, Indie",,"accessibility options, mouse only option, stereo sound, camera comfort",https://www.youtube.com/watch?v=pSSLM0QBRNo,77913,5748,2025-08-20,PC Game (Verification Error)
Into The Depths,Main Game,2026-06-10,SmelJey,SmelJey,PC (Microsoft Windows),"Simulator, Strategy, Turn-based strategy (TBS), Indie, Card & Board Game",Fantasy,"roguelike, underworld, hexagon, city builder, roguelite, hexagon tiles, deck-building, roguelike deckbuilder, hex grid, ludum dare 57, nextfest october 2025",https://www.youtube.com/watch?v=S1Dco5uRfGc,304,8,2025-12-27,PC Game (on Steam)
Limit Zero Breakers,Main Game,2026-06-10,Vic Game Studio,NCSOFT,"Android, PC (Microsoft Windows), iOS","Role-playing (RPG), Adventure","Action, Fantasy","anime, cross-platform multiplayer, free-to-play, parrying, airship, controller support, spectacle fighter",https://www.youtube.com/watch?v=IpEiUCeF-k8,1194436,320,2026-05-14,PC Game (on Steam)
Apocalypse Express,Main Game,2026-06-10,Llamaware Studios,Llamaware Studios,PC (Microsoft Windows),"Shooter, Strategy, Indie",Action,"rail shooter, vehicular combat, post-apocalyptic, 2d, vehicle simulation, roguelike, resource management, difficult, trains, management, on-rails, upgrade, pixel graphics, combat, upgradable equipment, vehicle combat, xbox controller support for pc, color customization, upgradeable weapons, gun, vehicle customization, resource gathering, upgradeable vehicles, remote play, controller support, roguelite, linear, action roguelike, rails, desert, steam families, top-down, upgrades, nextfest june 2025",https://www.youtube.com/watch?v=x8xiqDjcNuw,112,17,2026-05-21,PC Game (on Steam)
The Dreams in the Peacock House,Main Game,2026-06-10,Harlequin Diver,Harlequin Diver,"PC (Microsoft Windows), Mac","Point-and-click, Adventure, Indie",,,https://www.youtube.com/watch?v=usVbdKvdgJU,85,7,2026-05-08,PC Game (on Steam)
Fears to Fathom: Scratch Creek,Main Game,2026-06-10,Rayll Studios,Rayll Studios,PC (Microsoft Windows),"Adventure, Indie",,,N/A,N/A,N/A,N/A,PC Game (on Steam)
Kamilia,Main Game,2026-06-10,,,"PC (Microsoft Windows), Mac","Adventure, Indie, Visual Novel","Drama, Mystery","detective, multiple endings, murder mystery, atmospheric, emotional, choices matter, steam achievements, steam cloud, narrative adventure, dialogue choice, dramatic, puzzles, steam families, ai-generated concepts",https://www.youtube.com/watch?v=SYwkCRbqLKk,20778,5,2026-05-12,PC Game (on Steam)
Letter Lost,Main Game,2026-06-10,FlatNine Games,FlatNine Games,"Linux, PC (Microsoft Windows)",Indie,"Horror, Mystery","choices matter, narrative, cozy horror",https://www.youtube.com/watch?v=_QxTJ5sUOXw,4145,37,2026-02-23,PC Game (on Steam)
Burglin' Gnomes,Main Game,2026-06-10,,,PC (Microsoft Windows),"Adventure, Indie","Action, Horror, Survival",,https://www.youtube.com/watch?v=FD5lB7JbQVU,24770,1664,2026-05-27,PC Game (on Steam)
Hold Your King,Main Game,2026-06-10,Next Big Game Studio,"UGC90, Gamersky Games",PC (Microsoft Windows),"Adventure, Indie",Action,"steam achievements, adjustable difficulty, accessibility options, color alternatives, playable without timed input, stereo sound, custom volume controls, camera comfort",https://www.youtube.com/watch?v=vWGvgFRcH1Y,2408,69,2026-05-28,PC Game (on Steam)
Lost Castle 2,Main Game,2026-06-11,Hunter Studio,Hunter Studio,PC (Microsoft Windows),"Role-playing (RPG), Adventure, Indie",Action,,https://www.youtube.com/watch?v=lsBMhdFyv4c,4334,71,2026-04-09,PC Game (on Steam)
Myth Requiem,Main Game,2026-06-11,,,"Linux, PC (Microsoft Windows), Mac",Adventure,,nextfest february 2026,N/A,N/A,N/A,N/A,PC Game (on Steam)
Mirklurk: Every Step Matters,Main Game,2026-06-11,Edym Pixels,Edym Pixels,PC (Microsoft Windows),"Role-playing (RPG), Indie","Fantasy, Survival","pixel art, pixel graphics, swamp, nextfest february 2026",https://www.youtube.com/watch?v=Vd1J6jOB9Y0,101,13,2026-04-03,PC Game (on Steam)
SpaceCraft,Main Game,2026-06-11,Shiro Games,Shiro Games,PC (Microsoft Windows),"Simulator, Adventure",,,https://www.youtube.com/watch?v=4YLnUv-xZ5s,715,20,2026-04-16,PC Game (on Steam)
Bounce 2,Main Game,2026-06-11,Digital Joy Games,Digital Joy Games,PC (Microsoft Windows),"Sport, Indie, Arcade",Action,,https://www.youtube.com/watch?v=x1dFX8k_2fw,436,32,2025-07-23,PC Game (on Steam)
Nosferatu no Otome-tachi,Main Game,2026-06-11,,,PC (Microsoft Windows),"Indie, Visual Novel",,,N/A,N/A,N/A,N/A,Non-Steam PC Game
End of Starchild,Main Game,2026-06-12,MuleNgine,MuleNgine,PC (Microsoft Windows),Shooter,"Action, Horror, Mystery, Romance","psychological exploration, bullet hell, manic shooter, first-person platforming, puzzles",N/A,N/A,N/A,N/A,Non-Steam PC Game
Keepers of the Keep,Main Game,2026-06-12,KINJAKO,KINJAKO,"Linux, PC (Microsoft Windows)","Role-playing (RPG), Visual Novel","Fantasy, Comedy, Romance","multiple endings, dice, choices matter, controller support, dating simulation, nextfest june 2025",https://www.youtube.com/watch?v=2jX4TLJzWHs,158,11,2025-02-14,PC Game (on Steam)
Computer Manufacturer,Main Game,2026-06-12,,,PC (Microsoft Windows),"Simulator, Strategy",,nextfest june 2025,N/A,N/A,N/A,N/A,PC Game (on Steam)
Fire Lookout: Abandoned Post,Main Game,2026-06-12,,,PC (Microsoft Windows),"Adventure, Indie","Horror, Open world, Mystery","psychological horror, isolation",https://www.youtube.com/watch?v=sXhh7HV_QMg,113,4,2026-05-07,PC Game (on Steam)
Xanthiom 2,Main Game,2026-06-12,MathanGames,MathanGames,PC (Microsoft Windows),"Adventure, Indie",Action,metroidvania,https://www.youtube.com/watch?v=PJzFwxaWYDk,114,9,2024-05-07,PC Game (on Steam)
Match! The 12 CZ Wars,Main Game,2026-06-12,CorvusCorax Studio,CorvusCorax Studio,PC (Microsoft Windows),"Role-playing (RPG), Strategy, Indie",Fantasy,"roguelike, match 3, chinese zodiac, nextfest october 2025",https://www.youtube.com/watch?v=xWDWFcRwYz4,7,0,2026-01-15,PC Game (on Steam)
Clown Camp,Main Game,2026-06-12,Ghostie Games,"Ghostie Games, NECRONOMISOFT","Linux, PC (Microsoft Windows)","Shooter, Adventure, Indie","Action, Horror, Survival, Mystery","resource management, survival horror, low-poly",https://www.youtube.com/watch?v=epdjMn3nRdI,30,3,2026-05-28,PC Game (on Steam)
Goblin Company,Main Game,2026-06-12,BitBorne Studio,,PC (Microsoft Windows),"Adventure, Indie","Action, Fantasy, Comedy","resource management, trains, goblin, mining, goblins, 4 player co-op, digging, friendslop",https://www.youtube.com/watch?v=JQpzk4D-3I4,2902,59,2025-12-11,PC Game (on Steam)
Microwave Simulator,Main Game,2026-06-15,,,PC (Microsoft Windows),Simulator,,nextfest february 2026,N/A,N/A,N/A,N/A,PC Game (on Steam)
You Within Me,Main Game,2026-06-15,Converging Multitudes Gaming,Converging Multitudes Gaming,PC (Microsoft Windows),"Puzzle, Indie",,,N/A,N/A,N/A,N/A,PC Game (on Steam)
Crownseeker,Main Game,2026-06-15,Jeremy Petersen,Jeremy Petersen,PC (Microsoft Windows),"Role-playing (RPG), Indie",Fantasy,ai-generated marketing,N/A,N/A,N/A,N/A,PC Game (on Steam)
Deliria,Main Game,2026-06-15,,,PC (Microsoft Windows),"Adventure, Indie",Action,,N/A,N/A,N/A,N/A,PC Game (on Steam)
AI Apocalypse,Main Game,2026-06-16,,,PC (Microsoft Windows),"Role-playing (RPG), Strategy, Adventure, Indie, Card & Board Game","Action, Science fiction",card based combat,N/A,N/A,N/A,N/A,PC Game (on Steam)
GoblinAmerica,Main Game,2026-06-17,Gil Lawson,Gil Lawson,PC (Microsoft Windows),"Shooter, Platform, Indie","Action, Fantasy, Science fiction","exploration, metroidvania, goblin, unlockables, speedrun, stylish action",https://www.youtube.com/watch?v=P1FSIreQ3s0,4997,131,2025-06-08,PC Game (on Steam)
Glimvale: My Mini Overworld,Main Game,2026-06-17,,,PC (Microsoft Windows),"Strategy, Indie",,,https://www.youtube.com/watch?v=uhIHioDpm08,116,6,2025-03-17,PC Game (on Steam)
The Last Salvage Squad,Main Game,2026-06-17,Sunfish Kumano,Waku Waku Games,PC (Microsoft Windows),Shooter,"Action, Science fiction","2.5d, nextfest february 2026",https://www.youtube.com/watch?v=lP4mUIZ3wFg,31224,3133,2025-11-04,PC Game (Verification Error)
Shift at Midnight,Main Game,2026-06-17,,,PC (Microsoft Windows),"Simulator, Indie",Horror,,https://www.youtube.com/watch?v=aSzzhY0EMOY,3046,107,2026-05-28,PC Game (Verification Error)
Retrograde,Main Game,2026-06-18,HighSky Studios,HighSky Studios,PC (Microsoft Windows),Arcade,Action,"space, retro arcade shooter",N/A,N/A,N/A,N/A,PC Game (Verification Error)
Mythic Love: Iberian Legends,Main Game,2026-06-18,Platonic Games,Platonic Games,"PC (Microsoft Windows), Mac","Simulator, Indie, Visual Novel","Fantasy, Comedy, Drama, Romance","anime, casual, 2d, dark fantasy, mythology, supernatural, simulation, multiple endings, cute, otome, emotional, story rich, dating sim, lgbtq, nextfest february 2026",https://www.youtube.com/watch?v=0xVlDDrHY1A,2260,132,2025-10-03,PC Game (Verification Error)
Boing Over It,Main Game,2026-06-18,,,PC (Microsoft Windows),Indie,Horror,"steam achievements, nextfest february 2026",N/A,N/A,N/A,N/A,PC Game (Verification Error)
Arcadie II: Cold Lands,Main Game,2026-06-18,Arcadie & Utopie,Arcadie & Utopie,"Linux, PC (Microsoft Windows), Mac","Role-playing (RPG), Adventure, Indie",Fantasy,"interactive fiction, choose your own adventure, text-based, nextfest june 2025",N/A,N/A,N/A,N/A,PC Game (Verification Error)
Dictocracy,Main Game,2026-06-19,,,PC (Microsoft Windows),"Simulator, Strategy, Adventure, Indie",,,https://www.youtube.com/watch?v=Er3jrZyicxE,83,1,2025-10-11,PC Game (Verification Error)
Thank You For Your Application,Main Game,2026-06-19,IceLemonTeaStudio,IceLemonTeaStudio,"PC (Microsoft Windows), Mac","Role-playing (RPG), Simulator, Indie",Science fiction,,https://www.youtube.com/watch?v=6zbCEwIakw0,18646,75,2025-10-22,PC Game (Verification Error)
Maseylia: Echoes of the Past,Main Game,2026-06-19,Sol Brothers,Sol Brothers,"Xbox Series X|S, Linux, Nintendo Switch 2, PC (Microsoft Windows), PlayStation 5, Mac, Nintendo Switch","Adventure, Indie",Fantasy,"3d, metroidvania",https://www.youtube.com/watch?v=VJFYQvRnx6c,55168,36,2026-05-27,PC Game (Verification Error)
Summer Sisters,Main Game,2026-06-20,,Kagura Games,PC (Microsoft Windows),Role-playing (RPG),,"nsfw_patch, nsfw version exists",https://www.youtube.com/watch?v=V7Tycvap7pk,24086,1218,2026-05-06,PC Game (Verification Error)
Dive or Die: Children of Rain,Main Game,2026-06-21,Drop Rate Studio,Dear Villagers,PC (Microsoft Windows),"Adventure, Indie",Action,"2d, lovecraftian, roguelite",https://www.youtube.com/watch?v=84tEUdoE3c8,126,2,2026-05-27,PC Game (Verification Error)
Drunk or Baby,Main Game,2026-06-21,,,PC (Microsoft Windows),Quiz/Trivia,Party,,https://www.youtube.com/watch?v=dZQtmDMYy4M,5,2,2026-05-14,PC Game (Verification Error)
Scrap Story,Main Game,2026-06-22,,,"Linux, PC (Microsoft Windows)","Platform, Role-playing (RPG), Adventure, Indie",,,N/A,N/A,N/A,N/A,PC Game (on Steam)
Cozy Cleaner,Main Game,2026-06-22,Payoff Games,Rogue Duck Interactive,"Linux, PC (Microsoft Windows), Mac","Simulator, Adventure",,"life simulation, casual, 3d, physics, stylized, cute, building, atmospheric, base building, relaxing, family friendly, colorful, wholesome, cozy, mouse only, minimalist, immersive sim, job simulator",https://www.youtube.com/watch?v=7c0pV02g5xc,450,15,2025-12-09,PC Game (on Steam)
Keepers: Fractured Realities,Main Game,2026-06-23,Rivertune Games,Rivertune Games,PC (Microsoft Windows),"Adventure, Indie",Mystery,,https://www.youtube.com/watch?v=q2w7IH8Bjow,387,6,2025-08-29,PC Game (on Steam)
The Song Of Will,Main Game,2026-06-23,,,PC (Microsoft Windows),"Role-playing (RPG), Adventure","Science fiction, Party","pixel art, anthropomorphism, furry, turn-based rpg, lore rich",https://www.youtube.com/watch?v=i6wfFiqIjyc,193,13,2026-03-07,PC Game (on Steam)
MAGE,Main Game,2026-06-23,FunRug Studio LLC,FunRug Studio LLC,"PC (Microsoft Windows), Mac","Fighting, Shooter, Indie, Arcade","Action, Fantasy, Comedy, Party","wizards, magic, 2d, local multiplayer, pixel art, customization, fully customizable controls, controller support, indie developer, character classes, online party game",https://www.youtube.com/watch?v=gURgiWKomqw,98,8,2026-02-26,PC Game (on Steam)
Deadwave,Main Game,2026-06-23,Firewall Games,,PC (Microsoft Windows),"Shooter, Indie, Arcade","Action, Fantasy, Horror, Thriller","zombies, arcade shooter, zombie survival, zombie shooter, online coop",https://www.youtube.com/watch?v=AKRkAOlIG_Q,33,3,2026-05-24,PC Game (on Steam)
Moldwasher,Main Game,2026-06-23,Rubel Games,Anshar Publishing,PC (Microsoft Windows),"Simulator, Indie, Arcade","Action, Comedy","casual, 2d, 1990s, 2.5d, ludum dare, pixel art, family friendly, steam achievements, steam cloud, cozy, food, cleaning, immersive sim, steam families, ludum dare 57",https://www.youtube.com/watch?v=PrYdWKiSBQM,934,22,2026-05-22,PC Game (on Steam)
Raccoon Packer,Main Game,2026-06-23,Kekik in the Bag,Kekik in the Bag,"PC (Microsoft Windows), Mac","Point-and-click, Puzzle, Simulator, Indie",,"casual, animals, 2d, cute, relaxing, family friendly, hand-drawn, colorful, cartoony, cozy, incremental, job simulator, playable without timed input, mouse only option, custom volume controls, playable at your own pace, organizing, hobby sim",https://www.youtube.com/watch?v=WTEQnMQxMx8,17,2,2026-04-08,Non-Steam PC Game
Hidden Raccoons in Asia,Main Game,2026-06-23,Kekik in the Bag,Kekik in the Bag,"PC (Microsoft Windows), Mac","Point-and-click, Puzzle, Indie",,"casual, animals, 2d, hidden object, stylized, short, cute, pixel graphics, relaxing, family friendly, hand-drawn, colorful, steam achievements, creature collector, incremental, playable without timed input, mouse only option, custom volume controls, playable at your own pace",N/A,N/A,N/A,N/A,PC Game (on Steam)
Hidden Raccoons in Summer,Main Game,2026-06-23,Kekik in the Bag,Kekik in the Bag,"PC (Microsoft Windows), Mac","Point-and-click, Puzzle, Indie",,"casual, 2d, hidden object, stylized, cute, pixel graphics, relaxing, hand-drawn, colorful, creature collector, incremental",N/A,N/A,N/A,N/A,PC Game (on Steam)
Sovereign's End,Main Game,2026-06-23,NQR Games,NQR Games,PC (Microsoft Windows),Indie,Action,"bullet heaven, action roguelike",https://www.youtube.com/watch?v=b5QRjpOBFCI,17,1,2026-05-16,PC Game (on Steam)
A.N.N.,Main Game,2026-06-24,Grandeur Games,,PC (Microsoft Windows),"Adventure, Indie, Arcade","Action, Fantasy, Science fiction","difficult, soulslike, boss rush, pixelart, steam families",https://www.youtube.com/watch?v=y4TDoRK6Gsg,40,1,2024-07-10,PC Game (on Steam)
No Way Back: Dark Horizon,Main Game,2026-06-24,,,PC (Microsoft Windows),"Adventure, Indie",Action,"steam achievements, adjustable difficulty, accessibility options, save anytime, playable without timed input, camera comfort, nextfest october 2025",N/A,N/A,N/A,N/A,PC Game (on Steam)
Fresh Food Merge,Main Game,2026-06-24,,,PC (Microsoft Windows),"Puzzle, Indie","Fantasy, Comedy, Kids","suika, merge",N/A,N/A,N/A,N/A,PC Game (on Steam)
The Last (Hotdog) Stand,Main Game,2026-06-24,Seedborne,Seedborne,"Linux, PC (Microsoft Windows)","Simulator, Indie","Comedy, Business","retro, fast paced, cooking, difficult, funny, memory, time management, cartoony, minimalistic graphics, oldschool, adjustable difficulty, fastpace, cooking simulation, fast food, job simulator",https://www.youtube.com/watch?v=vbu0Kxd4ITw,111,2,2026-04-22,PC Game (on Steam)
Pawsome Resort,Main Game,2026-06-24,Pixel Puffs,Pixel Puffs,"PC (Microsoft Windows), Mac","Role-playing (RPG), Simulator, Adventure, Indie",Business,"life simulation, crafting, farming, stylized, cute, pixel graphics, business simulation, relaxing, agriculture, farming simulator, cozy",https://www.youtube.com/watch?v=f8InsH-ZNuE,186,5,2025-06-10,PC Game (on Steam)
Grids of Thermometers,Main Game,2026-06-24,,Frozax Games,"Android, PC (Microsoft Windows), iOS","Puzzle, Strategy, Indie",,logic puzzle,https://www.youtube.com/watch?v=QkbNjaH5_Bs,89514,80,2019-11-24,PC Game (on Steam)
Beatlow,Main Game,2026-06-24,Windfall Studio,Windfall Studio,"PC (Microsoft Windows), Mac","Music, Indie",,"music and rhythm, rhythm game",https://www.youtube.com/watch?v=29nDa_WffS4,273,15,2026-04-09,PC Game (on Steam)
Sphere TD,Main Game,2026-06-24,Standard Issue Games,Standard Issue Games,"Android, PC (Microsoft Windows), iOS","Role-playing (RPG), Simulator, Strategy, Indie",Action,"tower defense, 2d, building, roguelite, 2d rpg",https://www.youtube.com/watch?v=Nk5y50XVlKY,19556,3,2026-04-24,PC Game (on Steam)
OK Boomer,Main Game,2026-06-24,Pugsy Studios,,PC (Microsoft Windows),Indie,"Action, Survival, Comedy","exploration, online co-op, action roguelike, rougelike",https://www.youtube.com/watch?v=jQkQPZEt_fA,205,13,2026-05-26,Non-Steam PC Game
Slot or Die,Main Game,2026-06-25,,Hunt Games,PC (Microsoft Windows),"Role-playing (RPG), Strategy, Indie","Action, Fantasy",,N/A,N/A,N/A,N/A,PC Game (on Steam)
Bobble and the Tri-Crystal,Main Game,2026-06-25,,,PC (Microsoft Windows),"Shooter, Indie","Action, Non-fiction","bullet hell, shoot'em up",https://www.youtube.com/watch?v=NI23Nbluyy0,32,5,2026-02-23,PC Game (on Steam)
Project XZ,Main Game,2026-06-25,Foxy H.,Foxy H.,PC (Microsoft Windows),"Strategy, Indie",Action,"tower defense, retro, 2d, monochrome",N/A,N/A,N/A,N/A,PC Game (on Steam)
Bring The Rift,Main Game,2026-06-25,,,PC (Microsoft Windows),"Puzzle, Indie",Action,"block puzzle, block matching, puzzle games with stories, match 3 game",https://www.youtube.com/watch?v=5r9-HgArtIg,37,6,2026-04-23,PC Game (on Steam)
